,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145
10,삼월,일,일,온,다언,살결,한층,바람,차,눈,떠도,눈,떠도,티끌,날려,날,봄,먼저,온다,불행,동포,머리,우,자유,대신,깃발,늘어진,외국,관서,지붕,우,조국,하늘,나려,앉,서울,삼월,일,일,남조선,민주,의원,흘린,피,더운,느낌,가득,만세,소리,기억,더불,인민,자유,민주조선,깃발,가슴,품,눈,떠도,눈,떠도,티끌,날려,날,봄,일찍,섰다,삼월,일,일,앞,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,사월,점묘,하늘,졸려,낮,적,없,다리,위,하얀,편지,찢,보낸,다물,오리,헤,여가,낙엽수,강가,빛나,오르,저마다,런,거리,사월,눈물,손,가린다,멀리,기적,떠오,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,5,월,아침,비,개인,5,월,아침,혼란,스런,꾀꼬리,소리,찬엄,햇살,퍼져,릅내다이슬비,새벽,적시,울,두견,가슴,찢,소리,피어린,흐느낌,그릇,옛날,향훈,맘,홍,근,안,젖,으리오마는,아침,새,빛,하늘대,어린,속잎,저리,부,드,웁,발목,포실거리,꾀꼬리,다시,창공,흔드,자랑,찬,새,하늘,사치스레,만드,사향,냄새,잊어버렸,대서야,불혹,자랑,아침,꾀꼬리,안,불리,혼,새벽,두견,못,잡,마음,야한,낮,정밀,단들,무얼,꾀꼬리,무던히,소년,보,새벽,두견,오랜,중년,내사,불혹,자랑,턴,사람,접힌,마음,구긴,생각,이제,어루만져,졌,보,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,5,월,노래,12,보리,이삭,봄바람,종다리,노래,구름,속,울,즈레,봄,하늘,드높,노래,품고,물,흐린,못,밑,비칠,거룩,월,노래,오랜,대로,5,동그란,연잎,물,위,뜬다,지구,끝,멀,길,맺히,맺힌,생각,두,손길,잡,울리,가슴,정밀히,누를,높,산봉우리,위,우렁찬,노래,온,세상,사무쳐,빛내,뜻,아픈,이별,남기,신,말씀,조선,문단,1925,년,월,일,45,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,5,월,노래,종다리,노래,구름,속,울,즈레,봄,하늘,드높,노래,품,흐린,못물,밝,비칠,돌돌,말린,연잎,째긋이,움,나온다,처녀,노래,산,위,우렁차,북방,길,떠나,신,임,그립,타,가슴,두,손길,얹,그리운,노래,온,세상,사무,칠,깊,정,머언,길,없이,꽃가지,빛,나비,안길,품,그리,춤추,바람결,쑥스러운,풀씨,앉,자리,찾,휘날린다,부르,월,노래,인정,궁,굴린다,5,조선,시인,선집,1926,년,1013,월,일,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,5,월,바람,바람,세월,알리,바람,내,쓸쓸,할,불어온다,바람,젊음,가르치,바람,봄,떠나,말,바람,눈물,즐거움,갖,바람,5,월,바람,학원,1956,5,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,일,밤,산보,초,여드래,넘,밤,달,빗,밝,이제,스,므날,밤,밤,건일,기조,흐리,지금,쳐논,드렁,좁,길,엇,득,엇,득,우거진,아카시아,숩,아레,배여,향기,건드리,바람,빗겨,풀,숩,사이,밤일,농부,담배,불,일,희,슴,프,레,보이,달,빗,번,듯,넘,엇,편,치,다라,버든,고개,활개,치,점,길손,지내,는구나,라가,좁,길,좃,차,업,멈추,읏득서서넉업시,풀,버레,소리,드러라,프,른하늘아레의밤은희고밝은데아주,밤,점점,깁,인간,달,빗이,갓,갑,누나,외롭,몸,바린,세상,기대,희망,이제,수여,더욱,청,풀판,좃,쿠나,프,릇스럼한문의여,얼,는달,빗,번득이,이슬방울,벌,엇,이대로,건일,드러가,잠자,조선,문단,12,호,192510121122,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,12345661,일,계단,회고,뼘,쯤,자리,비비,드러누우,공기,좋,말,물,아무리,물,긁,수,으면서,겹,옷,입,대웅전,올라서,옷,속,뭇,군,슬,조찬회,여래,어질,다더니,악형,십니다,상오,두,시,눈,비비,일어나,열,시,절,기,판,짠다,인제,뻣뻣,허리,버릇,떼,삼월,십,일,문,들어올,매화,송이,필,염두,안,냈,온,나무,텅,비,여래,년,49,손끝,혀,끝,놀리,얻,바,냐,걸식,단장,실직,걸식,배,부르,설법,허리,안,굽히,팽,택,내,놓,표주박,손,빌,먹,도연명,참말,고사,절,번,받,절,나오,육,십,일,일,배례,시필,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,6,월,아침,월,6,아침,신선,맥박,푸른,잎,처럼,건강,야채,앞,아침,세례,받,생기,있는,채마밭,아름다워라,반짝이,은화,셈,치르,생활,바구니,풍요,롭,빛나,그녀,뒤꿈치,기운차,돌,선가,아침,체조,구령,소리,힘차,울려,퍼진다,식기,부딪치,소리,흐른다,아름다운,오늘,찬가,들려,온다,청량,호,41927131,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
19,9,월,시,하늘,끝없이,멀,물,없이,차지,여인,고개,숙이,수심,9,월,기러,기,떼,하늘가,사라지,가을,잎,빛,없,여인,새하얀,얼굴,더욱,창백,눈물,어리,9,월,구월,풍경,애처러운,편,시,여인,가슴,파묻혀,우,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
